[UID, JHJ0ekidS93_dk3145kIssW_Kj92rIesdDj]-
[TIME, 2015-04-29 16:12:37:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:38:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:39:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:40:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:41:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:42:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:43:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:44:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:45:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:46:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:47:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:48:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:49:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:50:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:51:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:52:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:53:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:54:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:55:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:56:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:57:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:58:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:12:59:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:13:00:64][010c, 315][010d, 246][0110, 56]-
[TIME, 2015-04-29 16:13:01:64][010c, 315][010d, 246][0110, 56]-
